barcode,code,YearWeek
TestProcessEligibleChannel2_0,98EX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,98EX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,X4EN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DEMT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RDRM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VEHZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2NGQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HJQK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,QQW2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WDT3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,7LXC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8EKW,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,P7AF,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TVK9,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9T3W,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8B37,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,G6R7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FWGC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HKJK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZM2M,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DF8W,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YHC6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9NZP,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GNQE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,PVQ8,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WQ4L,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,B3ZT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RP4B,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,EZQF,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4M2J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,93HM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9L77,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VVH7,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GQZK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4LTL,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NBX3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,4X9A,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Y9QC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2PZY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Z68J,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3Y3E,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TAJM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NWJZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CQNJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ZDYC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,44K3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LGX6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,T2GA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LNLX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,HVQV,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,QMJV,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,VRKH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,ACBN,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,TDBF,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,N6MT,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,QWDD,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BXLM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2Z8K,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KFGY,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,Z4NA,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RVH2,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,YFBZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2JBJ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2MFH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,R3NX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,GZGH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,2JY3,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KHGK,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,36V6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,WFHX,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KL7V,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,RHC8,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,79HW,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,D998,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LL7W,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,LT33,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,CNF6,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,BNWW,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,N8Y4,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,KJLM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,69EC,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,NQVZ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,FME9,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,8FEH,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,478T,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,42JE,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,3AKM,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,DCYQ,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,9E3Y,TestProcessEligibleChannel2_0
TestProcessEligibleChannel2_0,P7A7,TestProcessEligibleChannel2_0
