barcode,code,YearWeek
TestProcessEligibleChannel2_3,QE6R,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,6DVG,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,G4YG,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,X82J,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,YQRJ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,483D,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,DXWY,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,JKCM,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,68V8,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,RJLF,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,ZQY9,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,E7M7,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,XQZJ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,N3T6,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,KH2N,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,9M6K,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,GRMP,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,VZ6V,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,2D9H,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,YBKT,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,ZBAY,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,9MPP,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,L66W,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,TR6E,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,M3MT,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,PXGG,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,LGKE,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,X3DM,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,NE7K,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,ZRN6,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,R6LH,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,VCAZ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,VLC2,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,NE4R,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,Q22K,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,GML4,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,ZGGM,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,GKEK,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,T3ZT,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,3J46,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,4JHE,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,CQBN,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,2AQR,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,KXAK,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,4HCJ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,RFJ2,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,K6EV,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,7JJD,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,NJ73,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,9HW3,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,2TL9,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,8HW8,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,W8TZ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,X6VK,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,PXFH,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,37Z2,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,YL9T,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,6PK9,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,67WK,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,6A6J,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,QXDH,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,YXX7,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,AEQR,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,Y8DZ,TestProcessEligibleChannel2_3
TestProcessEligibleChannel2_3,WTRF,TestProcessEligibleChannel2_3
